JobTitle,company,description,Level,Type,StandardJobTitle
Software Developer / Desktop Development, ITS, Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · .NET · C# · SQL · WCF · OOP · Debugging · Oracle · Architecture · javaScript - July 29,Entery Level,Full Time,Software Engneering 
Software Engineer (Multinational) IT Large, Pillars, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · C# · RESTful · ASP.NET · React · Angular · Java - June 10,Entery Level,Full Time,IT Category
Software Engineer (Multinational) IT Large..., Pillars, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · C# · RESTful · ASP.NET · React · Java · MVC - June 10,Entery Level,Full Time,IT Category
Software Engineer (Multinational) IT Large..., Pillars, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · C# · RESTful · ASP.NET · React · Java · TLS 1.2 - June 10,Entery Level,Full Time,IT Category
Vodafone Egypt Customer Care Advisor, Vodafone Egypt, Full Time · Entry Level · 0-3 Yrs of Exp · Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - July 25,Entery Level,Full Time,Software Engneering 
Software Developer, BPOHIVE, Part Time · Work From Home · Entry Level · 1-3 Yrs of Exp · virtual assistant · content creation · App development · Programming · Javascript · Ruby · SASS · IT · Computer science · Upwork - July 24,Entery Level,Part Time,Software Engneering 
Software Developer (Gupta Programming), ITS, Full Time · Entry Level · 1-3 Yrs of Exp · Computer Science · Computer Engineering · Information Technology (IT) · Gupta Programming · Oracle · SQL · Sybase · C# · OOP · Software Development - July 26,Entery Level,Full Time,Software Engneering 
Software Developer, IOP, Internship · Entry Level · Information Technology (IT) · Software Development · Computer Science · web service · system integration · IOT · AI · SQL · database hosting · Programming · java - New,Entery Level,Internship,Software Engneering 
Software Developer, HITS Technologies, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Integration · Software Development · Software Engineering · JSON - July 29,Entery Level,Full Time,Software Engneering 
Software Developer (.Net Core), Automated Systems, Full Time · Entry Level · 1+ Yrs of Exp · .NET · APIs · OOP · RESTful · Information Technology (IT) · Software Development · Computer Science · Development · Computer Engineering · backend - July 27,Entery Level,Full Time,Software Engneering 
Software Java Developer (JPA), Fawry Banking & Payment Technology Services, Full Time · Entry Level · 1-4 Yrs of Exp · Computer Science · Software · Software Development · Software Engineering · Information Technology (IT) · Design · JSP · Servlets · JSF · Web Services - July 26,Entery Level,Full Time,Software Engneering 
Software Mobile Developer, GET Group- Egypt, Full Time · Entry Level · 1-3 Yrs of Exp · Software Development · Computer Science · Information Technology (IT) · Mobile Development · Android · Java · Design · Swift · Programming · Mobile - July 7,Entery Level,Full Time,Software Engneering 
Software Developer, BlueCloud, Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Software Development · Information Technology (IT) · Engineering · .NET · MVC · C# · javaScript · Software · Computer Engineering - July 12,Entery Level,Full Time,Software Engneering 
Software Business Development Representative..., FlairsTech, Full Time · Shift Based · Entry Level · 1-3 Yrs of Exp · Sales Skills · Sales · Business Development · B2B Sales · Communication Skills · English · Sales Target · Communication · APAC · EMEA - July 27,Entery Level,Full Time,Software Engneering 
IT Officer, Global Study UK, Full Time · Entry Level · 1-3 Yrs of Exp · Microsoft Office · Information Technology (IT) · IT · Computer Science · Software · Office 365 · Security · Installation/Maintenance/Repair - June 25,Entery Level,Full Time,IT Category
Software Developer - Front-End (React), Penta-b, Full Time · Entry Level · 1-2 Yrs of Exp · Computer Science · Software Development · React · Java · Ionic · Agile · HTML · CSS · Software · Information Technology (IT) · javaScript - June 14,Entery Level,Full Time,Software Engneering 
Software Development Engineer (Machine Learning), Si-Ware Systems, Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Software Development · Software Engineering · Engineering · machine laerning · cloud · Information Technology (IT) · Computer Engineering - June 13,Entery Level,Full Time,Software Engneering 
IT Specialist, Kasrawy Group, Full Time · Entry Level · 1-3 Yrs of Exp · Males Only · Information Technology (IT) · Technical Support · Computer Science · Information Technology · Hardware · Software · Installation · English - July 25,Entery Level,Full Time,IT Category
IT Technical Support Specialist, Bavaria Egypt, Full Time · Entry Level · 1+ Yrs of Exp · Information Technology (IT) · Technical Support · Troubleshooting · LAN · WAN · IT Support · Help Desk · IT Technical Support · IT/Software Development - June 10,Entery Level,Full Time,IT Category
Network/Telecom Engineers In Gulf And Egypt..., Confidential, Work From Home · Entry Level · 1-5 Yrs of Exp · Telecom · Networking · Telecom Engineering · Installation · Engineering · Computer Engineering · IT/Software Development - June 11,Entery Level,Full Time And Part Time And Work From Home,Software Engneering 
IT Service Desk Officer, AXA Egypt, Full Time · Entry Level · 1-2 Yrs of Exp · Computer Systems · Systems · Computer · Information Technology (IT) · Installation/Maintenance/Repair · IT/Software Development - July 26,Entery Level,Full Time,IT Category
IT Technical Support Specialist, Compu master, Full Time · Entry Level · 1-2 Yrs of Exp · Information Technology (IT) · Technical Support · Computer Science · VMWare · Information Technology · Software · Hardware · Linux · DNS · Microsoft - July 13,Entery Level,Full Time,IT Category
Junior IT Specialist, Jessour Misr, Full Time · Entry Level · 1-2 Yrs of Exp · Computer Engineering · Information Technology (IT) · Software Engineering · Software Development · PHP · Java · Odoo · Computer Science · IT Engineering - June 13,Entery Level,Full Time,IT Category
IT Specialist, Confidential, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Installation · food and beverage · restaurant · hotel · Software · Computer Science · Technical Support · Computer · CCNA - July 29,Entery Level,Full Time,IT Category
Digital Software Developer, Premier Services and Recruitment Overseas, Full Time · Entry Level · 1-4 Yrs of Exp · Software · Software Development · Web Development · REACTJS · IT/Software Development · Engineering - Telecom/Technology - June 10,Entery Level,Full Time,Software Engneering 
IT Specialist, Somabay, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Installation · Technical Support · Computer · MCSA · CCNA · Installation/Maintenance/Repair - July 28,Entery Level,Full Time,IT Category
IT Help Desk أخصائي دعم تقني, Eldib & Co, Full Time · Entry Level · 1-3 Yrs of Exp · Males Only · Help Desk · Technical Support · Computer Science · Engineering · Computer Hardware · English · Installation/Maintenance/Repair - July 26,Entery Level,Full Time,IT Category
IT Administrator, Kama Manufacturing, Full Time · Entry Level · 0-2 Yrs of Exp · Information Technology (IT) · System Administration · Computer Engineering · Computer Science · Engineering · Software · Security · IT Admin · Computer - New,Entery Level,Full Time,IT Category
IT Technical Support Specialist, Chubb life Insurance, Full Time · Entry Level · 1-2 Yrs of Exp · Information Technology (IT) · Computer Science · Technical Support · Software · Hardware · MCSA · CCNA · Installation · Installation/Maintenance/Repair - July 27,Entery Level,Full Time,IT Category
Software Business Analyst - Mansoura, AlQemam For Programming, Full Time · Entry Level · 1+ Yrs of Exp · Software Analysis · Analysis · Software Development · Programming · Scripting · Software · Computer Science · Computer Engineering · Software Engineering - July 28,Entery Level,Full Time,Software Engneering 
Senior Sales Account Manager - IT Infrastructure, Compuroots, Full Time · Entry Level · 1-5 Yrs of Exp · Information Technology (IT) · Computer Science · Sales · Account Management · Sales Planning · Sales Strategies · Software · Hardware · Customer Service - July 26,Entery Level,Full Time,IT Category
IT Sales Account Manager, Beta Technology Egypt, Full Time · Entry Level · 1+ Yrs of Exp · Sales · Technical · Sales Skills · Customer Service · Sales Target · IT Sales · Software Sales · Account Manager · Business Development · Sales/Retail - June 10,Entery Level,Full Time,IT Category
IT Network Engineer, ShadyPack, Full Time · Entry Level · 0-1 Yrs of Exp · Engineering · Computer Science · Networking · Maintenance · Information Technology (IT) · CCNA · Network Infrastructure · Hardware · Network · Computer - July 12,Entery Level,Full Time,IT Category
IT Specialist (SaaS), BI-Technologies, Full Time · Entry Level · 1-3 Yrs of Exp · IT · Information Technology (IT) · Computer Science · SaaS · Virtualization Technologies · Cloud Computing · Microsoft Operating Systems · MCSE · CCNA - July 28,Entery Level,Full Time,IT Category
