JobTitle,company,description,Level,Type,StandardJobTitle
Business Development Specialist - Upper Egypt, golden, Full Time · Experienced · 2+ Yrs of Exp · Business Development · Sales Skills · Sales · Sales Target · Architecture · Interior Designing · Marketing · Market Research · Marketing Analysis · English - June 16,Experienced,Full Time,Software Engneering 
Senior/Intermediate .NET Core Developer (Remote..., Confidential, Full Time · Experienced · 4+ Yrs of Exp · Software · Software Engineering · Software Development · Web Development · .Net · ASP.Net · Web Application · jQuery · Javascript · Ajax - June 27,Experienced,Full Time,Software Engneering 
Senior Software Developer, Bnsights, Full Time · Experienced · 6-10 Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · SQL · MVC · Angular · C# · .NET · Programming · Design · Software · javaScript - June 30,Experienced,Full Time,Software Engneering 
Software Developer / Desktop Development, ITS, Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · .NET · C# · SQL · WCF · OOP · Debugging · Oracle · Architecture · javaScript - July 29,Entery Level,Full Time,Software Engneering 
Senior Software Developer -Dynamics 365..., CrossWorkers, Full Time · Experienced · 4-12 Yrs of Exp · AL Language · Azure SQL · C# · Computer Science · Dynamics 365 · Software Development · VS Code · IT/Software Development - July 27,Experienced,Full Time,Software Engneering 
Software Engineer (Multinational) IT Large, Pillars, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · C# · RESTful · ASP.NET · React · Angular · Java - June 10,Entery Level,Full Time,IT Category
Software Engineer (Multinational) IT Large..., Pillars, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · C# · RESTful · ASP.NET · React · Java · MVC - June 10,Entery Level,Full Time,IT Category
Software Engineer (Multinational) IT Large..., Pillars, Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · C# · RESTful · ASP.NET · React · Java · TLS 1.2 - June 10,Entery Level,Full Time,IT Category
Senior Software Developer - Java, CrossWorkers, Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Programming · javaScript · Software · HTML · CSS · English · Unit Testing · Java - July 7,Experienced,Full Time,Software Engneering 
Software Developer - As/400 Developer, Target Recruitment  & HR Solutions, Full Time · Experienced · 5-10 Yrs of Exp · Software Development · Information Technology (IT) · MS SQL · AS400 · SQL · BI · Computer Science · javaScript · English · IT · Human Resources (HR) - June 24,Experienced,Full Time,Software Engneering 
IT Developer, Confidential, Full Time · Experienced · 2-3 Yrs of Exp · Computer Science · End-user support · Engineering · Desktop Support · Technical Support · Information Technology · IT · Request Management Process · SDLC - June 20,Experienced,Full Time,IT Category
Vodafone Egypt Customer Care Advisor, Vodafone Egypt, Full Time · Entry Level · 0-3 Yrs of Exp · Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - July 25,Entery Level,Full Time,Software Engneering 
