JobTitle,company,description,Level,Type,StandardJobTitle
Business Development Specialist - Upper Egypt, golden, Full Time · Experienced · 2+ Yrs of Exp · Business Development · Sales Skills · Sales · Sales Target · Architecture · Interior Designing · Marketing · Market Research · Marketing Analysis · English - June 16,Experienced,Full Time,Software Engneering 
Senior/Intermediate .NET Core Developer (Remote..., Confidential, Full Time · Experienced · 4+ Yrs of Exp · Software · Software Engineering · Software Development · Web Development · .Net · ASP.Net · Web Application · jQuery · Javascript · Ajax - June 27,Experienced,Full Time,Software Engneering 
Senior Software Developer, Bnsights, Full Time · Experienced · 6-10 Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · SQL · MVC · Angular · C# · .NET · Programming · Design · Software · javaScript - June 30,Experienced,Full Time,Software Engneering 
Senior Software Developer -Dynamics 365..., CrossWorkers, Full Time · Experienced · 4-12 Yrs of Exp · AL Language · Azure SQL · C# · Computer Science · Dynamics 365 · Software Development · VS Code · IT/Software Development - July 27,Experienced,Full Time,Software Engneering 
Senior Software Developer - Java, CrossWorkers, Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Programming · javaScript · Software · HTML · CSS · English · Unit Testing · Java - July 7,Experienced,Full Time,Software Engneering 
Software Developer - As/400 Developer, Target Recruitment  & HR Solutions, Full Time · Experienced · 5-10 Yrs of Exp · Software Development · Information Technology (IT) · MS SQL · AS400 · SQL · BI · Computer Science · javaScript · English · IT · Human Resources (HR) - June 24,Experienced,Full Time,Software Engneering 
IT Developer, Confidential, Full Time · Experienced · 2-3 Yrs of Exp · Computer Science · End-user support · Engineering · Desktop Support · Technical Support · Information Technology · IT · Request Management Process · SDLC - June 20,Experienced,Full Time,IT Category
Senior Software Developer – C# + Blazor, CrossWorkers, Full Time · Experienced · 3-6 Yrs of Exp · Software Development · C# · Information Technology (IT) · Computer Science · HTML · CSS · Software · English · Programming · Development · SQL - June 21,Experienced,Full Time,Software Engneering 
Software Business Development Executive, Restart Technology, Full Time · Experienced · 2-3 Yrs of Exp · Sales Skills · Software · Information Technology · IT · Sales · Business Development · Sales Target · Business · Business Development · Sales/Retail - New,Experienced,Full Time,Software Engneering 
Software Engineer, Mitcha, Full Time · Experienced · 2-4 Yrs of Exp · Programming · Computer Science · Python · PHP · Java · Hosting · UNIX · Information Technology (IT) · Software Engineering · Software Development - July 26,Experienced,Full Time,Software Engneering 
Software Business Development Executive, intrazero, Full Time · Experienced · 2+ Yrs of Exp · Sales · Business Development · Sales Target · Sales Skills · Communication · Communication Skills · Skills · Selling · CRM · Software · Software Sales - New,Experienced,Full Time,Software Engneering 
Java Software Developer, Tawzef, Full Time · Experienced · 2-3 Yrs of Exp · Software Development · Engineering · Java · Computer Science · Information Technology (IT) · Development · Java Development · Computer · Science - New,Experienced,Full Time,Software Engneering 
Software Developer - Experienced, HITS Technologies, Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Integration · Software Development · Software Engineering · JSON - July 29,Experienced,Full Time,Software Engneering 
