JobTitle,company,description,Level,Type,StandardJobTitle
Software Development (Back End .Net) Team Lead, PaySky, Full Time · Manager · 5-10 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · javaScript · Software · HTML · SQL · .NET · C# · ASP.NET · Design · Management - July 10,Managerial,Full Time,Software Engneering 
Upper Egypt Area Manager (Operations), Bosta, Full Time · Manager · 5-8 Yrs of Exp · Operations · Logistics · Supply Chain · Logistics/Supply Chain · Operations/Management - June 21,Managerial,Full Time,Software Engneering 
IT Manager (Head Of IT) - (World Class..., Pillars, Full Time · Manager · 10-20 Yrs of Exp · Information Technology (IT) · Computer Science · IT · Microsoft Dynamics · English · IT/Software Development · Project/Program Management - July 30,Managerial,Full Time,IT Category
Software Business Development Manager, A1Softech, Full Time · Manager · 9-12 Yrs of Exp · Sales · Sales Skills · Information Technology (IT) · Business Development · Negotiation · Negotiation Skills · Systems · Communication · Software Sales - June 6,Managerial,Full Time,Software Engneering 
Java Spring Developer Team Leader, Digital Force, Full Time · Manager · 6-9 Yrs of Exp · Git · Tomcat · Software Development · Information Technology (IT) · Java · Computer Science · CSS · HTML · English · Oracle DB · MS SQL · Full Stack - New,Managerial,Full Time,Software Engneering 
IT Manager, Confidential, Full Time · Manager · 12-15 Yrs of Exp · Males Only · Information Technology (IT) · Computer Science · Management · Software · Communication · Communication Skills · Computer · Technical · Analysis - July 29,Managerial,Full Time,IT Category
IT Director, Our Education, Full Time · Senior Management · 5+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Engineering · IT · Management · Engineering · Information Technology · Computer · Managing - June 13,Managerial,Full Time,IT Category
Software Delivery Manager, PaySky, Full Time · Manager · 6+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Software · Project Management · Service Delivery · Project · Management · Engineering - New,Managerial,Full Time,Software Engneering 
Software Technical Lead, Dryve, Full Time · Manager · 8+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Software · Engineering · Software Engineering · IT/Software Development - June 16,Managerial,Full Time,Software Engneering 
IT Manager (Hotels Background Is A Must), Paradise Inn Hotels & Resorts, Full Time · Manager · 10+ Yrs of Exp · Information Technology (IT) · Computer Science · Computer · Networks · Network Administration · Network Installation · Data Center Management · Data Governance - New,Managerial,Full Time,IT Category
